Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;ENERO;ENE;1;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;825;;
2026;ENERO;ENE;1;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;ENERO;ENE;1;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;2243;0;77
2026;ENERO;ENE;1;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;65;6;32
2026;ENERO;ENE;1;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;2486;18;13
2026;ENERO;ENE;1;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1997;58;112
2026;ENERO;ENE;1;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;469;64;12
2026;ENERO;ENE;1;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;459;5;1
2026;ENERO;ENE;1;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;ENERO;ENE;1;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;252;2;168
2026;ENERO;ENE;1;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;492;30;46
2026;ENERO;ENE;1;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2087;0;75
2026;ENERO;ENE;1;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;718;0;21
2026;ENERO;ENE;1;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;612;0;18
2026;ENERO;ENE;1;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;379;0;39
