CIE10;DIAGNOSTICO DESCRIPCION;TIPO
Q24.0;DEXTROCARDIA;CRONICO
R00.0;TAQUICARDIA, NO ESPECIFICADA;CURA
R00.1;BRADICARDIA, NO ESPECIFICADA;CURA
R01.1;SOPLO CARDIACO, NO ESPECIFICADO;CURA
H28.1;CATARATA EN OTRAS ENFERMEDADES ENDOCRINAS, NUTRICIONALES Y METABOLICAS;CURA
H25;CATARATA SENIL;CURA
H18.3;CAMBIOS EN LAS MEMBRANAS DE LA CORNEA;CRONICO
Q12.0;CATARATA CONGENITA;CRONICO
H17.9;CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA;CRONICO
H31.1;DEGENERACION COROIDEA;CRONICO
H18.4;DEGENERACION DE LA CORNEA;CRONICO
H18.5;DISTROFIA HEREDITARIA DE LA CORNEA;CRONICO
Q12.4;ESFEROFAQUIA;CRONICO
Q12.1;LUXACION CONGENITA DEL CRISTALINO;CRONICO
Q14.3;MALFORMACION CONGENITA DE LA COROIDES;CRONICO
Q12.9;MALFORMACION CONGENITA DEL CRISTALINO, NO ESPECIFICADAS;CRONICO
Q13.9;MALFORMACION CONGENITA DEL SEGMENTO ANTERIOR DEL OJO, NO ESPECIFICADA;CRONICO
Q11.2;MICROFTALMIA;CRONICO
G72.1;MIOPATIA ALCOHOLICA;CRONICO
H44.2;MIOPIA DEGENERATIVA;OPTICA
H16.4;NEOVASCULARIZACION DE LA CORNEA;CRONICO
Q13.3;OPACIDAD CORNEAL CONGENITA;CRONICO
Q11.1;OTRAS ANOFTALMIAS;CRONICO
Q13.4;OTRAS MALFORMACIONES CONGENITAS DE LA CORNEA;CRONICO
Q12.8;OTRAS MALFORMACIONES CONGENITAS DEL CRISTALINO;CRONICO
Q15.8;OTRAS MALFORMACIONES CONGENITAS DEL OJO, ESPECIFICADAS;CRONICO
Q13.8;OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO;CRONICO
H17.1;OTRAS OPACIDADES CENTRALES DE LA CORNEA;CRONICO
H17.8;OTRAS OPACIDADES O CICATRICES DE LA CORNEA;CRONICO
H18.2;OTROS EDEMAS DE LA CORNEA;CRONICO
H19.8;OTROS TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
H13.3;PENFIGOIDE OCULAR (L12.-);CRONICO
H16.3;QUERATITIS INTERSTICIAL Y PROFUNDA;CRONICO
H19.1;QUERATITIS Y QUERATOCONJUNTIVITIS POR HERPES SIMPLE (B00.5+) (*);CRONICO
H18.6;QUERATOCONO;CRONICO
H18.1;QUERATOPATIA VESICULAR;CRONICO
Q87.4;SINDROME DE MARFAN;CRONICO
M35.0;SINDROME SECO [SJÖGREN];CRONICO
Z94.7;TRASPLANTE DE CORNEA;CRONICO
C69.1;TUMOR MALIGNO DE LA CORNEA;CRONICO
D31.1;TUMOR BENIGNO DE LA CORNEA;CUIDA
H11.2;CICATRICES CONJUNTIVALES;CUIDA
H11.3;HEMORRAGIA CONJUNTIVAL;CUIDA
H11.4;OTROS TRASTORNOS VASCULARES Y QUISTES CONJUNTIVALES;CUIDA
H11.8;OTROS TRASTORNOS ESPECIFICADOS DE LA CONJUNTIVA;CUIDA
H11.9;TRASTORNO DE LA CONJUNTIVA, NO ESPECIFICADO;CUIDA
H13.8;OTROS TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CUIDA
