AÑO;MES;SEDE;CENTRO_COSTO;META
2026;ENERO;CENTRO;L.N. CIRUGIA;277241.5254
2026;ENERO;CENTRO;L.N. CONSULTAS;39808.66083
2026;ENERO;CENTRO;L.N. EXAMENES;83118.64407
2026;ENERO;CENTRO;L.N. FARMACIA;44003.42881
2026;ENERO;CENTRO;L.N. LABORATORIO;14107.52373
2026;ENERO;CENTRO;L.N. OPTICA;21457.62712
2026;ENERO;CENTRO;L.N. PROCEDIMIENTOS;35593.22034
2026;ENERO;NORTE;L.N. CIRUGIA;118271.1864
2026;ENERO;NORTE;L.N. CONSULTAS;18093.22034
2026;ENERO;NORTE;L.N. EXAMENES;31379.66102
2026;ENERO;NORTE;L.N. FARMACIA;15649.72881
2026;ENERO;NORTE;L.N. LABORATORIO;6751.953862
2026;ENERO;NORTE;L.N. OPTICA;12669.49153
2026;ENERO;NORTE;L.N. PROCEDIMIENTOS;7449.152542
2026;FEBRERO;CENTRO;L.N. CIRUGIA;280461.8644
2026;FEBRERO;CENTRO;L.N. CONSULTAS;43100.70451
2026;FEBRERO;CENTRO;L.N. EXAMENES;86554.28571
2026;FEBRERO;CENTRO;L.N. FARMACIA;44050.92034
2026;FEBRERO;CENTRO;L.N. LABORATORIO;14107.52373
2026;FEBRERO;CENTRO;L.N. OPTICA;21457.62712
2026;FEBRERO;CENTRO;L.N. PROCEDIMIENTOS;35593.22034
2026;FEBRERO;NORTE;L.N. CIRUGIA;130542.3729
2026;FEBRERO;NORTE;L.N. CONSULTAS;20420.10319
2026;FEBRERO;NORTE;L.N. EXAMENES;33951.94915
2026;FEBRERO;NORTE;L.N. FARMACIA;16400.82897
2026;FEBRERO;NORTE;L.N. LABORATORIO;7252.098592
2026;FEBRERO;NORTE;L.N. OPTICA;12677.9661
2026;FEBRERO;NORTE;L.N. PROCEDIMIENTOS;7621.155053
2026;MARZO;CENTRO;L.N. CIRUGIA;284953.3898
2026;MARZO;CENTRO;L.N. CONSULTAS;45603.43977
2026;MARZO;CENTRO;L.N. EXAMENES;93767.14286
2026;MARZO;CENTRO;L.N. FARMACIA;45971.8246
2026;MARZO;CENTRO;L.N. LABORATORIO;14992.89647
2026;MARZO;CENTRO;L.N. OPTICA;22262.71186
2026;MARZO;CENTRO;L.N. PROCEDIMIENTOS;39338.98305
2026;MARZO;NORTE;L.N. CIRUGIA;127423.7288
2026;MARZO;NORTE;L.N. CONSULTAS;21855.67626
2026;MARZO;NORTE;L.N. EXAMENES;37340.78814
2026;MARZO;NORTE;L.N. FARMACIA;18858.80925
2026;MARZO;NORTE;L.N. LABORATORIO;7764.746941
2026;MARZO;NORTE;L.N. OPTICA;16974.57627
2026;MARZO;NORTE;L.N. PROCEDIMIENTOS;9042.09737
2026;ABRIL;CENTRO;L.N. CIRUGIA;292919.4915
2026;ABRIL;CENTRO;L.N. CONSULTAS;46654.99296
2026;ABRIL;CENTRO;L.N. EXAMENES;86554.28571
2026;ABRIL;CENTRO;L.N. FARMACIA;44153.39449
2026;ABRIL;CENTRO;L.N. LABORATORIO;14107.52373
2026;ABRIL;CENTRO;L.N. OPTICA;22864.40678
2026;ABRIL;CENTRO;L.N. PROCEDIMIENTOS;38491.52542
2026;ABRIL;NORTE;L.N. CIRUGIA;127261.572
2026;ABRIL;NORTE;L.N. CONSULTAS;24815.0793
2026;ABRIL;NORTE;L.N. EXAMENES;41074.86695
2026;ABRIL;NORTE;L.N. FARMACIA;18488.42154
2026;ABRIL;NORTE;L.N. LABORATORIO;6617.319699
2026;ABRIL;NORTE;L.N. OPTICA;14457.62712
2026;ABRIL;NORTE;L.N. PROCEDIMIENTOS;8996.358954
2026;MAYO;CENTRO;L.N. CIRUGIA;297665.2542
2026;MAYO;CENTRO;L.N. CONSULTAS;48568.99763
2026;MAYO;CENTRO;L.N. EXAMENES;94258.92857
2026;MAYO;CENTRO;L.N. FARMACIA;46205.20409
2026;MAYO;CENTRO;L.N. LABORATORIO;15053.26279
2026;MAYO;CENTRO;L.N. OPTICA;23669.49153
2026;MAYO;CENTRO;L.N. PROCEDIMIENTOS;40779.66102
2026;MAYO;NORTE;L.N. CIRUGIA;150652.5424
2026;MAYO;NORTE;L.N. CONSULTAS;29068.36647
2026;MAYO;NORTE;L.N. EXAMENES;44517.87907
2026;MAYO;NORTE;L.N. FARMACIA;20562.89056
2026;MAYO;NORTE;L.N. LABORATORIO;7509.77986
2026;MAYO;NORTE;L.N. OPTICA;15288.13559
